founder_id,name,company,email,segment_focus,status,preferred_mode,meeting_date,meeting_time,meeting_link
5,Aditya Mehta,MasalaMate Labs,aditya.mehta@masalamatelabs.com,Family,meeting scheduled,Google Meet,2025-10-17,14:00,https://meet.example.com/8s8hmbr5
7,Reyansh Mukherjee,KitchenKart Labs,reyansh.mukherjee@kitchenkartlabs.com,Healthy,meeting scheduled,Phone,2025-09-30,11:30,https://meet.example.com/xqt4p501
8,Pari Bhat,CrunchCart Labs,pari.bhat@crunchcartlabs.com,Late Night,meeting scheduled,Google Meet,2025-10-20,14:00,https://meet.example.com/nouhtcs1
11,Pari Reddy,UrbanPlates Labs,pari.reddy@urbanplateslabs.com,Budget,meeting scheduled,Zoom,2025-09-29,17:00,https://meet.example.com/k9ye9o2m
12,Sara Kapoor,VegVibe Labs,sara.kapoor@vegvibelabs.com,Family,meeting scheduled,Zoom,2025-09-16,15:30,https://meet.example.com/71hssbel
13,Vivaan Mukherjee,MidnightMorsel Labs,vivaan.mukherjee@midnightmorsellabs.com,Premium,meeting scheduled,Phone,2025-09-16,17:00,https://meet.example.com/rqvslwf9
16,Aarohi Kapoor,CrunchCart Labs,aarohi.kapoor@crunchcartlabs.com,Premium,meeting scheduled,Phone,2025-09-22,11:30,https://meet.example.com/0km3tzk3
24,Aarohi Das,TiffinTales Labs,aarohi.das@tiffintaleslabs.com,Late Night,meeting scheduled,Zoom,2025-09-29,15:30,https://meet.example.com/ny9v20ya
26,Vihaan Chopra,FitFeast Labs,vihaan.chopra@fitfeastlabs.com,Late Night,meeting scheduled,In-person,2025-09-23,14:00,
28,Aadhya Mukherjee,Byte&Bite Labs,aadhya.mukherjee@byteandbitelabs.com,Healthy,meeting scheduled,In-person,2025-09-09,15:30,
